#      T [K]      F [kJ/mol]    S [J/K/mol]  C_v [J/K/mol]     E [kJ/mol]
     790.000    -885.7094964   1970.8233251    832.0667699    671.2409304
     800.000    -905.4701758   1981.2910565    832.2797170    679.5626694
     810.000    -925.3348928   1991.6313483    832.4850250    687.8864993
     820.000    -945.3023881   2001.8472363    832.6830528    696.2123456
     830.000    -965.3714326   2011.9416504    832.8741385    704.5401372
     840.000    -985.5408257   2021.9174190    833.0586012    712.8698063
     850.000   -1005.8093946   2031.7772739    833.2367417    721.2012882
     860.000   -1026.1759936   2041.5238542    833.4088441    729.5345210
     870.000   -1046.6395026   2051.1597109    833.5751768    737.8694458
     880.000   -1067.1988269   2060.6873104    833.7359935    746.2060062
     890.000   -1087.8528959   2070.1090383    833.8915342    754.5441481
     900.000   -1108.6006625   2079.4272028    834.0420260    762.8838200
     910.000   -1129.4411022   2088.6440382    834.1876841    771.2249725
     920.000   -1150.3732127   2097.7617076    834.3287123    779.5675583
     930.000   -1171.3960128   2106.7823062    834.4653039    787.9115320
     940.000   -1192.5085421   2115.7078641    834.5976421    796.2568502
     950.000   -1213.7098599   2124.5403485    834.7259009    804.6034712
     960.000   -1234.9990451   2133.2816670    834.8502457    812.9513551
     970.000   -1256.3751955   2141.9336692    834.9708332    821.3004636
     980.000   -1277.8374268   2150.4981496    835.0878129    829.6507598
     990.000   -1299.3848726   2158.9768494    835.2013265    838.0022083
    1000.000   -1321.0166835   2167.3714587    835.3115091    846.3547752
    1010.000   -1342.7320269   2175.6836186    835.4184893    854.7084278
    1020.000   -1364.5300863   2183.9149226    835.5223894    863.0631347
    1030.000   -1386.4100610   2192.0669192    835.6233262    871.4188657
    1040.000   -1408.3711654   2200.1411126    835.7214108    879.7755918
    1050.000   -1430.4126288   2208.1389653    835.8167493    888.1332848
    1060.000   -1452.5336950   2216.0618990    835.9094429    896.4919179
    1070.000   -1474.7336217   2223.9112961    835.9995881    904.8514652
    1080.000   -1497.0116803   2231.6885016    836.0872773    913.2119015
    1090.000   -1519.3671554   2239.3948241    836.1725985    921.5732028
    1100.000   -1541.7993447   2247.0315369    836.2556359    929.9353459
    1110.000   -1564.3075583   2254.5998797    836.3364700    938.2983082
    1120.000   -1586.8911184   2262.1010595    836.4151779    946.6620682
    1130.000   -1609.5493595   2269.5362517    836.4918332    955.0266049
    1140.000   -1632.2816273   2276.9066014    836.5665065    963.3918982
    1150.000   -1655.0872791   2284.2132241    836.6392653    971.7579287
    1160.000   -1677.9656830   2291.4572072    836.7101742    980.1246774
    1170.000   -1700.9162180   2298.6396104    836.7792953    988.4921262
    1180.000   -1723.9382734   2305.7614669    836.8466880    996.8602575
    1190.000   -1747.0312489   2312.8237842    836.9124093   1005.2290544
    1200.000   -1770.1945539   2319.8275452    836.9765139   1013.5985003
    1210.000   -1793.4276078   2326.7737084    837.0390541   1021.9685794
    1220.000   -1816.7298392   2333.6632095    837.1000803   1030.3392763
    1230.000   -1840.1006861   2340.4969612    837.1596409   1038.7105762
    1240.000   -1863.5395956   2347.2758548    837.2177823   1047.0824644
    1250.000   -1887.0460233   2354.0007604    837.2745491   1055.4549272
    1260.000   -1910.6194336   2360.6725275    837.3299843   1063.8279510
    1270.000   -1934.2592995   2367.2919859    837.3841289   1072.2015226
    1280.000   -1957.9651017   2373.8599462    837.4370227   1080.5756294
    1290.000   -1981.7363294   2380.3772003    837.4887038   1088.9502590
    1300.000   -2005.5724793   2386.8445222    837.5392089   1097.3253995
    1310.000   -2029.4730559   2393.2626682    837.5885733   1105.7010394
    1320.000   -2053.4375712   2399.6323777    837.6368311   1114.0771673
    1330.000   -2077.4655444   2405.9543736    837.6840149   1122.4537724
    1340.000   -2101.5565020   2412.2293628    837.7301564   1130.8308441
    1350.000   -2125.7099773   2418.4580366    837.7752860   1139.2083722
    1360.000   -2149.9255106   2424.6410714    837.8194329   1147.5863466
    1370.000   -2174.2026488   2430.7791288    837.8626254   1155.9647577
    1380.000   -2198.5409454   2436.8728561    837.9048908   1164.3435960
    1390.000   -2222.9399603   2442.9228869    837.9462553   1172.7228525
    1400.000   -2247.3992595   2448.9298412    837.9867444   1181.1025182
    1410.000   -2271.9184155   2454.8943263    838.0263825   1189.4825845
    1420.000   -2296.4970065   2460.8169363    838.0651933   1197.8630431
    1430.000   -2321.1346166   2466.6982534    838.1031995   1206.2438857
    1440.000   -2345.8308358   2472.5388474    838.1404232   1214.6251045
    1450.000   -2370.5852597   2478.3392768    838.1768856   1223.0066916
    1460.000   -2395.3974893   2484.1000883    838.2126075   1231.3886397
    1470.000   -2420.2671312   2489.8218181    838.2476086   1239.7709414
    1480.000   -2445.1937971   2495.5049910    838.2819081   1248.1535895
    1490.000   -2470.1771042   2501.1501218    838.3155248   1256.5365773
    1500.000   -2495.2166744   2506.7577148    838.3484764   1264.9198978
    1510.000   -2520.3121350   2512.3282647    838.3807805   1273.3035446
    1520.000   -2545.4631179   2517.8622560    838.4124539   1281.6875113
    1530.000   -2570.6692598   2523.3601644    838.4435127   1290.0717917
    1540.000   -2595.9302024   2528.8224559    838.4739729   1298.4563796
    1550.000   -2621.2455918   2534.2495877    838.5038497   1306.8412692
    1560.000   -2646.6150785   2539.6420084    838.5331578   1315.2264547
    1570.000   -2672.0383177   2545.0001581    838.5619115   1323.6119305
    1580.000   -2697.5149688   2550.3244683    838.5901248   1331.9976911
    1590.000   -2723.0446957   2555.6153628    838.6178111   1340.3837312
    1600.000   -2748.6271661   2560.8732573    838.6449833   1348.7700456
    1610.000   -2774.2620522   2566.0985599    838.6716542   1357.1566292
    1620.000   -2799.9490300   2571.2916710    838.6978359   1365.5434771
    1630.000   -2825.6877796   2576.4529840    838.7235403   1373.9305843
    1640.000   -2851.4779850   2581.5828849    838.7487790   1382.3179463
    1650.000   -2877.3193339   2586.6817529    838.7735631   1390.7055584
    1660.000   -2903.2115178   2591.7499602    838.7979034   1399.0934161
    1670.000   -2929.1542321   2596.7878725    838.8218105   1407.4815150
    1680.000   -2955.1471755   2601.7958490    838.8452945   1415.8698509
    1690.000   -2981.1900505   2606.7742426    838.8683654   1424.2584196
    1700.000   -3007.2825629   2611.7233999    838.8910328   1432.6472169
    1710.000   -3033.4244221   2616.6436614    838.9133061   1441.0362389
    1720.000   -3059.6153409   2621.5353620    838.9351942   1449.4254817
    1730.000   -3085.8550353   2626.3988305    838.9567061   1457.8149415
    1740.000   -3112.1432245   2631.2343903    838.9778502   1466.2046146
    1750.000   -3138.4796311   2636.0423591    838.9986349   1474.5944973
    1760.000   -3164.8639808   2640.8230494    839.0190684   1482.9845861
    1770.000   -3191.2960022   2645.5767682    839.0391583   1491.3748776
    1780.000   -3217.7754272   2650.3038176    839.0589125   1499.7653682
    1790.000   -3244.3019906   2655.0044946    839.0783383   1508.1560547
    1800.000   -3270.8754302   2659.6790911    839.0974430   1516.5469339
    1810.000   -3297.4954865   2664.3278945    839.1162336   1524.9380025
    1820.000   -3324.1619030   2668.9511871    839.1347169   1533.3292575
    1830.000   -3350.8744261   2673.5492470    839.1528995   1541.7206959
    1840.000   -3377.6328048   2678.1223475    839.1707881   1550.1123145
    1850.000   -3404.4367908   2682.6707575    839.1883888   1558.5041107
    1860.000   -3431.2861385   2687.1947419    839.2057078   1566.8960814
    1870.000   -3458.1806050   2691.6945609    839.2227510   1575.2882239
    1880.000   -3485.1199500   2696.1704710    839.2395244   1583.6805355
    1890.000   -3512.1039356   2700.6227244    839.2560334   1592.0730135
    1900.000   -3539.1323265   2705.0515694    839.2722838   1600.4656553
    1910.000   -3566.2048898   2709.4572503    839.2882808   1608.8584583
    1920.000   -3593.3213951   2713.8400079    839.3040296   1617.2514201
    1930.000   -3620.4816143   2718.2000790    839.3195355   1625.6445381
    1940.000   -3647.6853218   2722.5376968    839.3348032   1634.0378100
    1950.000   -3674.9322942   2726.8530911    839.3498378   1642.4312334
    1960.000   -3702.2223103   2731.1464879    839.3646438   1650.8248060
    1970.000   -3729.5551514   2735.4181101    839.3792259   1659.2185255
    1980.000   -3756.9306007   2739.6681770    839.3935887   1667.6123898
    1990.000   -3784.3484438   2743.8969047    839.4077364   1676.0063966
    2000.000   -3811.8084683   2748.1045061    839.4216733   1684.4005438
