#      T [K]      F [kJ/mol]    S [J/K/mol]  C_v [J/K/mol]     E [kJ/mol]
    1500.000   -7519.5926409   7552.7618102   2529.9020780   3809.5500744
    1510.000   -7595.2044030   7569.5720675   2529.9666217   3834.8494189
    1520.000   -7670.9837138   7586.2717871   2530.0298982   3860.1494026
    1530.000   -7746.9294751   7602.8624104   2530.0919404   3885.4500128
    1540.000   -7823.0406030   7619.3453509   2530.1527802   3910.7512374
    1550.000   -7899.3160278   7635.7219950   2530.2124485   3936.0530645
    1560.000   -7975.7546931   7651.9937024   2530.2709752   3961.3554825
    1570.000   -8052.3555565   7668.1618069   2530.3283891   3986.6584803
    1580.000   -8129.1175883   7684.2276171   2530.3847184   4011.9620467
    1590.000   -8206.0397721   7700.1924171   2530.4399900   4037.2661711
    1600.000   -8283.1211041   7716.0574670   2530.4942304   4062.5708431
    1610.000   -8360.3605931   7731.8240034   2530.5474650   4087.8760524
    1620.000   -8437.7572599   7747.4932401   2530.5997185   4113.1817891
    1630.000   -8515.3101375   7763.0663688   2530.6510149   4138.4880436
    1640.000   -8593.0182708   7778.5445592   2530.7013774   4163.7948063
    1650.000   -8670.8807161   7793.9289601   2530.7508285   4189.1020681
    1660.000   -8748.8965411   7809.2206994   2530.7993901   4214.4098199
    1670.000   -8827.0648249   7824.4208850   2530.8470833   4239.7180530
    1680.000   -8905.3846573   7839.5306048   2530.8939288   4265.0267587
    1690.000   -8983.8551390   7854.5509277   2530.9399465   4290.3359288
    1700.000   -9062.4753813   7869.4829037   2530.9851557   4315.6455550
    1710.000   -9141.2445060   7884.3275645   2531.0295754   4340.9556293
    1720.000   -9220.1616450   7899.0859238   2531.0732237   4366.2661439
    1730.000   -9299.2259402   7913.7589777   2531.1161185   4391.5770912
    1740.000   -9378.4365434   7928.3477053   2531.1582769   4416.8884638
    1750.000   -9457.7926164   7942.8530690   2531.1997158   4442.2002544
    1760.000   -9537.2933301   7957.2760147   2531.2404514   4467.5124558
    1770.000   -9616.9378651   7971.6174724   2531.2804994   4492.8250611
    1780.000   -9696.7254110   7985.8783565   2531.3198754   4518.1380635
    1790.000   -9776.6551666   8000.0595659   2531.3585942   4543.4514564
    1800.000   -9856.7263396   8014.1619850   2531.3966704   4568.7652333
    1810.000   -9936.9381466   8028.1864830   2531.4341181   4594.0793877
    1820.000  -10017.2898124   8042.1339154   2531.4709511   4619.3939136
    1830.000  -10097.7805708   8056.0051233   2531.5071827   4644.7088048
    1840.000  -10178.4096636   8069.8009342   2531.5428260   4670.0240553
    1850.000  -10259.1763409   8083.5221623   2531.5778936   4695.3396594
    1860.000  -10340.0798609   8097.1696087   2531.6123979   4720.6556113
    1870.000  -10421.1194897   8110.7440616   2531.6463508   4745.9719055
    1880.000  -10502.2945014   8124.2462967   2531.6797641   4771.2885365
    1890.000  -10583.6041775   8137.6770775   2531.7126491   4796.6054990
    1900.000  -10665.0478073   8151.0371553   2531.7450168   4821.9227878
    1910.000  -10746.6246874   8164.3272696   2531.7768781   4847.2403976
    1920.000  -10828.3341219   8177.5481487   2531.8082435   4872.5583237
    1930.000  -10910.1754220   8190.7005093   2531.8391232   4897.8765609
    1940.000  -10992.1479060   8203.7850570   2531.8695272   4923.1951045
    1950.000  -11074.2508994   8216.8024868   2531.8994652   4948.5139499
    1960.000  -11156.4837343   8229.7534830   2531.9289467   4973.8330923
    1970.000  -11238.8457498   8242.6387194   2531.9579809   4999.1525273
    1980.000  -11321.3362917   8255.4588597   2531.9865768   5024.4722505
    1990.000  -11403.9547122   8268.2145576   2532.0147431   5049.7922574
    2000.000  -11486.7003702   8280.9064571   2532.0424885   5075.1125439
